en	zh
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
one two one decimal nine good day AIR JUNEYAO one two zero nine	幺两幺点九 日安 东航 幺两洞九
D H seven hold short of ILS	D H 拐 等待 ILS
confirm runway one seven	确认跑道 幺拐
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
CHINA EASTERN five one six two confirm QNH one zero one two on one zero one three	东航 五幺六两 确认 QNH 幺洞幺两 对于 幺洞幺三
OK the right via ALPHA one JAPAN AIR one	好的 通过 ALPHA 幺 日本航空 幺
<FOUR-HUNDRED>	<FOUR-HUNDRED>
one two one decimal nine good day CHINA EASTERN five one zero seven	幺两幺点九 日安 东航 五幺洞拐
L D D seven hold short	L D D 拐 等待
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
CATHAY three four nine contact tower one one eight decimal six five good day	国泰航空 三四九 联系塔台 幺幺八点六五 日安
NAV	导航
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
two seven one wind zero one zero degrees one zero meters per second runway three six left clear for take off three six left	两拐幺 风速 洞幺洞° 每秒 幺洞 米 跑道 三六 左 清晰起飞
AIR JUNEYAO one two one two surface wind three five zero degree nine meters per second runway three six right clear to land	吉祥航空 幺两幺两 表面风速 三五洞° 每秒 九 米 跑道 三六 右 清晰着陆
CHINA EASTERN five two seven one apron report tug ready	东航 五两拐幺 机坪 报告 拖车准备
runway three six left clear for take off UNIONAIR eight two	跑道 三六 左 清晰起飞 联合航空 八两
CHINA EASTERN five one four four tower continue approach runway three six right QNH one zero one three	东航 五幺四四 塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
one two one nine seven five SWISS one eight nine good bye	幺两幺点九拐五 瑞士航空 幺八九 再见
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
CHINA EASTERN five one six two QNH one zero one three	东航 五幺六两 QNH 幺洞幺三
JUNEYAO one zero one two	吉祥航空 幺洞幺两
one two one decimal two	幺两幺点两
one two one nine seven five thank	幺两幺点九拐五 谢谢
KOREAN AIR eight two one er roger maintain runway heading climb to and maintain nine hundred meters	韩亚航空 八两幺 收到 维持跑道方向 上升到并保持九洞洞米
HAINAN seven six zero six report tug ready	海南 拐六洞六 报告 拖车准备
JUNEYAO one zero eight five	吉祥航空 幺洞八五
NAV	导航
AIR MACAU zero zero zero ZULU hold short of HOTEL four	澳门航空 洞洞洞 ZULU 等待 HOTEL 四
apron HAINAN seven six zero three approaching DELTA one one	机坪 海南 拐六洞三 接近 DELTA 幺幺
nine seven zero	九拐洞
EVA seven one one apron now contact apron one two one decimal nine seven	EVA 拐幺幺 机坪 现在联系 幺两幺点九拐五
one two one decimal two	幺两幺点两
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
say again ASIANA three six six	请再说一遍 亚航 三六六
CHINA EASTERN five one one nine taxi via MIKE four DELTA hold short DELTA one six	东航 五幺幺九 滑行经过 MIKE 四 DELTA 等待 DELTA 幺六
<ONE-HUNDRED>	<ONE-HUNDRED>
one two one six five MALAYSIA three eight nine bye bye	幺两幺点六五 马来西亚航空 三八九 再见
LUFTHANSA seven eight seven contact approach one two six	汉莎航空 拐八拐 联系进近 幺两六
NAV	导航
er pushback and start up approved runway three six left CHINA EASTERN five one two three	推回和启动获批 跑道三六左转 东航 五幺两三
MIKE SIERRA ZULU zero zero turn left	MIKE SIERRA ZULU 向左转
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
readback correct	复述正确
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
SINGAPORE eight three one apron go	新加坡 八三幺 机坪 请讲
KLM eight nine six apron stand by	荷兰皇家航空 八九六 机坪待命
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
correction AIR SPRING eight	更正 春秋航空 八
land	着陆
<FOUR-HUNDRED>	<FOUR-HUNDRED>
er BAUHINIA two three er seven YOU are er airbus three two zero er is not available	确认 BAUHINIA 两三拐 你是 空客 三两洞 不可用
standby	待命
AIR JUNEYAO one eight five six apron taxi via DELTA parking bay two three two	东航 幺八五六 机坪 滑行经过 DELTA 停机位 两三两
CHINA EASTERN five zero one five	东航 五洞幺五
check	检查
CHINA EASTERN five one four four	东航 五幺四四
JAPAN AIR eight four one contact SHANGHAI approach one two six decimal six five	日本航空 八四幺 联系上海进近 幺两六点六五
OK HOTEL four hold short of BRAVO thank YOU sir	好的 HOTEL 四 等待 BRAVO 谢谢您
HONGQIAO tower good evening AIR SPRING eight eight five six localizer runway three six right	虹桥塔台 晚安 春秋航空 八八五六 ILS 跑道 三六 右
NAV	导航
taxi via MIKE three DELTA DELTA one hold short er DELTA one four AIR JUNEYAO one eight eight one	滑行经过 MIKE 三 DELTA 等待 DELTA 幺四 东航 幺八八幺
one five minutes VIETNAM five two three	幺五 分钟 越南航空 五两三
GLORY one two five now contact apron one two one decimal nine seven five	GLORY 幺两五 现在联系机坪 幺两幺点九拐五
tower good evening CHINA EASTERN five one four four final	塔台 晚安 东航 五幺四四 最终接近
approach ALL NIPPON nine	进近 全日空 九
one two decimal one five ALL NIPPON nine two seven	幺两幺点幺五 全日空 九两拐
CHINA EASTERN five two seven one taxi via MIKE two DELTA hold short DELTA one six	东航 五两拐幺 滑行经过 MIKE 两 DELTA 等待 DELTA 幺六
zero two	洞两
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
EVA seven seven one contact approach one two six decimal six five	EVA 拐拐幺 联系进近 幺两六点六五
runway track	跑道
HAINAN seven six zero six continue taxi DELTA hold short of DELTA one six	海南 拐六洞六 继续滑行 DELTA 等待 DELTA 幺六
runway three five runway three five due to traffic	跑道 三五 由于交通
zero five	洞五
land	着陆
LUFTHANSA seven eight six	汉莎航空 拐八六
MIKE SIERRA ZULU SIERRA ZULU now HOTEL four cross runway three six right	MIKE SIERRA ZULU 现在 HOTEL 四 穿越跑道 三六 右
tower one one eight decimal six five good day	塔台 幺幺八点六五 日安
KOREAN AIR eight two one er roger maintain runway heading climb to and maintain nine hundred meters	韩亚航空 八两幺 收到 维持跑道方向 上升到并保持九洞洞米
<FOUR-HUNDRED>	<FOUR-HUNDRED>
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
THAI six six three er airport can not take off we cross us A A read me	泰航 六六三 机场无法起飞 我们交叉 A A 听到我吗
four H B I will call YOU back	四 H B 我会给你回电
hold short BRAVO one two one seven THAI six six three	等待 BRAVO 幺两幺拐 泰国航空 六六三
check	检查
er now roger CATHAY three six seven now YOU contact one two one decimal nine seven five	收到 国泰 三六拐 现在你联系 幺两幺点九拐五
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
approach one two six six five ALL NIPPON nine seven zero good day	进近 幺两六点六五 全日空 九拐洞 日安
follow SID tower hold short	根据 SID 塔台 等待
NAV	导航
AIR JUNEYAO one zero eight five now taxi via DELTA hold short DELTA one six	吉祥航空 幺洞八五 现在滑行经过 DELTA 等待 DELTA 幺六
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
JAPAN AIR eight one eight continue report when	日本航空 八幺八 继续接近 报告时
CATHAY three four nine HANGZHOU tower HOTEL four hold short runway three six right due to traffic	国泰航空 三四九 杭州塔台 HOTEL 四 等待跑道 三六 右 由于交通
taxi route NORTH hold short DELTA AIR JUNEYAO one two one two	通过 NORTH 等待 DELTA 吉祥航空 幺两幺两
CATHAY three seven	国泰 三拐
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
runway three six left clear for take off AIR JUNEYAO one two zero nine	跑道 三六 左 清晰起飞 吉祥航空 幺两洞九
CHINA EASTERN five six four three tower HOTEL seven hold short runway three six left	东航 五六四三 塔台 HOTEL 拐 等待跑道 三六 左
NAV	导航
ZULU three ZULU hold short four hold short ZULU three BRAVO	ZULU 三 等待 ZULU 三 BRAVO
zero one one	洞洞幺
roger thank	收到 谢谢
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
apron er tower JAPAN AIR two one er good morning due to to wind check	机坪 塔台 日本航空 两幺 早安 由于风检查
affirm we are ready CATHAY three six seven	确认 我们已准备好 国泰 三六拐
apron JAPAN AIR eight zero we are ready	机坪 日本航空 八洞 我们准备好了
<ONE-HUNDRED>	<ONE-HUNDRED>
AIR SPRING eight eight five six vacate right	春秋航空 八八五六 向右滑行
MIKE SIERRA ZULU contact tower one one eight decimal six five good day	MIKE SIERRA ZULU 联系塔台 幺幺八点六五 日安
tower CHINA EASTERN five one six two ILS runway three six right	塔台 东航 五幺六两 ILS 跑道 三六 右
LIMA DELTA HOTEL seven zero one	LIMA DELTA HOTEL 拐洞幺
I can accept	我可以接受
NAV	导航
NAV	导航
<FORTY>	<FORTY>
zero one one	洞洞幺
CHINA EASTERN five one four four wind three six zero degrees nine meters per second runway three six right clear to land	东航 五幺四四 风速 三六洞° 每秒 九 米 跑道 三六 右 清晰着陆
standard	标准
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
runway three six clear for take off	跑道 三六 清晰起飞
seven eight five	拐八五
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
pushback and start up approved runway zero two	推回和启动获批 跑道 洞两
check	检查
NAV	导航
涓滄柟浜?CHINA EASTERN five one four four turn left vacate taxi via BRAVO hold short HOTEL two	东航 五幺四四 向左转 滑行 通过 BRAVO 等待 HOTEL 两
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
runway track	跑道
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
er confirm three five zero	确认 三五洞
MIKE SIERRA ZULU SIERRA ZULU surface wind zero five zero degrees at one zero meters er one zero and runway three six left clear for take off	MIKE SIERRA ZULU SIERRA ZULU 表面风速 洞五洞° 每秒 幺洞 米 跑道 三六 左 清晰起飞
pushback and start up approved runway three six left CHINA EASTERN five one one nine	推回和启动获批 跑道三六左转 东航 五幺幺九
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
<FORTY>	<FORTY>
AIR JUNEYAO one one zero six surface wind is zero six zero degree one two meters per second QNH one eight runway three six right clear to land	吉祥航空 幺幺洞六 表面风速 六洞° 每秒 幺两 米 QNH 幺八 跑道 三六 右 清晰着陆
NAV	导航
land	着陆
one seven established ILS runway one seven	一七 确立 ILS 跑道一七
THAI six six three stand by call YOU	泰航 六六三 待命和你联系
GUANGZHOU tower JAPAN AIR eight one , six miles final runway three six right	广州塔 日本航空 八幺 , 六英里 最终接近 跑道 三六 右
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
one two one decimal nine seven five BAUHINIA two four one good day	幺两幺点九拐五 BAUHINIA 两四幺 日安
one one eight decimal six five good day MIKE SIERRA ZULU	幺幺八点六五 日安 MIKE SIERRA ZULU
NAV	导航
one two one decimal five	幺两幺点五
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
AIR SPRING eight five nine zero HONGQIAO tower good evening HOTEL four hold short of runway three six right due to traffic	春秋航空 八五九洞 虹桥塔台 晚安 HOTEL 四 等待跑道 三六 右 由于交通
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
<FIVE>	<FIVE>
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
AIR JUNEYAO one eight eight two apron DELTA one one follow follow-me car parking bay two four zero ECHO	东航 幺八八两 机坪 DELTA 幺幺 跟随引导车 停机位 两四洞 ECHO
CHINA EASTERN five five one five pushback and start up approved runway three six left	东航 五五幺五 推回和启动获批 跑道三六左转
one one two two contact one two one decimal six two five	幺幺两两 联系 幺两幺点六两五
NEW ZEALAND two eight eight apron	新西兰 两八八 机坪
NAV	导航
THAI six six three go ahead	泰航 六六三 请讲
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
MIKE three hold short DELTA HAINAN seven six zero six	MIKE 三 等待 DELTA 海南 拐六洞六
one two one nine seven five SINGAPORE eight three three	幺两幺点九拐五 新加坡航空 八三三
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
apron CATHAY three six three bay sixty nine request start and pushback	机坪 国泰航空 三六三 停机位 六九 请求推回和启动
AIR JUNEYAO one one zero six vacate left taxi via BRAVO hold short of HOTEL two	吉祥航空 幺幺洞六 向左转 滑行通过 BRAVO 等待 HOTEL 两
NAV	导航
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
roger HAINAN seven six zero six	收到 海南 拐六洞六
<FOUR-HUNDRED>	<FOUR-HUNDRED>
<ONE-HUNDRED>	<ONE-HUNDRED>
OK taxi BRAVO HOTEL seven hold short runway three six left EVA seven seven one	好的 通过 BRAVO HOTEL 拐 等待跑道 三六 左 EVA 拐拐幺
AIR SPRING eight five	春秋航空 八五
check	检查
NAV	导航
on standard CAPITAL JET five five six nine	标准 首都航空 五五六九
CHINA EASTERN five one six two QNH one zero one three	东航 五幺六两 QNH 幺洞幺三
PUDONG apron good afternoon BAUHINIA two three seven bay one seven three ready for start and push	浦东机坪 下午好 BAUHINIA 两三拐 停机位 幺拐三 准备推回和启动
AIR JUNEYAO one two zero nine DELTA hold short of DELTA one zero	东航 幺两洞九 DELTA 等待 DELTA 幺洞
<FORTY>	<FORTY>
tug er report tug ready CHINA EASTERN five one one nine	拖车准备好了 东航 五幺幺九
HOTEL four crossing runway three six right ASIANA three six two five	酒店 四 穿越跑道 三六 右 亚航 三六两五
涓滄柟浜?CHINA EASTERN five one four four turn left vacate taxi via BRAVO hold short HOTEL two	东航 五幺四四 向左转 滑行 通过 BRAVO 等待 HOTEL 两
er roger er SINGAPORE eight three one now YOU contact one two one decimal nine seven	收到 新加坡 八三幺 现在你联系 幺两幺点九拐
OK er line up and wait runway three six left EVA seven seven one	好的 排队等候跑道 三六 左 EVA 拐拐幺
AIR JUNEYAO one two one two surface wind three five zero degree nine meters per second runway three six right clear to land	吉祥航空 幺两幺两 表面风速 三五洞° 每秒 九 米 跑道 三六 右 清晰着陆
<ENGINE>	<ENGINE>
approach runway three six er right CATHAY three four nine	接近跑道 三六 右 国泰航空 三四九
SIERRA HOTEL seven line up and wait runway zero three left MIKE HOTEL	SIERRA HOTEL 拐 排队等候跑道 洞三 左 MIKE HOTEL
HAINAN seven six zero six roger standby	海南 拐六洞六 收到 待命
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
CHINA EASTERN five one six two confirm QNH one zero one two on one zero one three	东航 五幺六两 确认 QNH 幺洞幺两 对于 幺洞幺三
AIR JUNEYAO one two zero nine not the turn	吉祥航空 幺两洞九 不是转弯
AIR SPRING eight five	春秋航空 八五
AIR JUNEYAO one two zero nine go ahead	吉祥航空 幺两洞九 请讲
four zero meters on the ILS approach runway	ILS 接近跑道 四洞 米
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
go ahead AIR JUNEYAO one one zero six	请讲 吉祥航空 幺幺洞六
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
runway three six right clear to land eight one	跑道 三六 右 清晰着陆 日本航空 八幺
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
LOC	LOC
er number three	这是第三个
land	着陆
CHINA SOUTHERN good day	南方航空 日安
er apron JAPAN AIR eight zero	机坪 日本航空 八洞
AIR JUNEYAO one two one zero apron taxi via DELTA hold short DELTA six	吉祥航空 幺两幺洞 机坪 滑行经过 DELTA 等待 DELTA 六
check	检查
CHINA EASTERN five one zero seven apron standby	东航 五幺洞拐 机坪待命
JAPAN AIR eight one heavy surface wind zero six zero degrees one one meters per second one seven meters per second runway three six right clear to land	日本航空 八幺 重型 表面风速 六洞° 每秒 幺幺 米 每秒 幺拐 米 跑道 三六 右 清晰着陆
tower JAPAN AIR eight two ready	塔台 日本航空 八两 准备好了
check	检查
ALL NIPPON nine seven zero surface wind zero three zero degree nine meter per second runway three six left clear for take off	全日空 九拐洞 表面风速 三洞° 每秒 九 米 跑道 三六 左 清晰起飞
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
CATHAY three six five any another runway available for departure	国泰 三六五 还有其他可用跑道出发吗
one seven established ILS runway one seven	一七 确立 ILS 跑道一七
runway track	跑道
ramp control ALL NIPPON nine seven two request pushback and engine start	机坪控制 全日空 九拐两 请求推回和发动机启动
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
AIR SPRING eight eight five five HANGZHOU ramp TANGO two four hold short runway three six right due to traffic	春秋航空 八八五五 杭州机坪 TANGO 两四 等待跑道 三六 右 由于交通
one two six decimal six five er CHARLIE BRAVO WHISKEY five zero good day	幺两六点六五 CHARLIE BRAVO WHISKEY 五洞 日安
climb	爬升
<FORTY>	<FORTY>
left turn BRAVO hold short of HOTEL six CATHAY three eight one	左转 BRAVO 等待 HOTEL 六 国泰航空 三八幺
CHINA EASTERN five one four four contact apron one two one decimal nine five good day	东航 五幺四四 联系地面 幺两幺点九五 日安
landing	着陆
JUNEYAO one one nine three	吉祥航空 幺幺九三
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
contact QINGDAO	联系青岛
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
AIR INCHEON two one one	仁川航空 两幺幺
affirm descend one thousand	确认 下降 幺洞洞洞
left turn BRAVO hold short HOTEL six AIR MACAU one three seven	左转 BRAVO 等待 HOTEL 六 澳门航空 幺三拐
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
JAPAN AIR eight zero go ahead	日本航空 八洞 请讲
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
BIG BIRD eight eight five descend and maintain five hundred meters on final runway one seven right	BIG BIRD 八八五 下降并保持 五洞洞 米 最终接近 跑道 幺拐 右
five one six three approaching D	五幺六三 接近 D
landing	着陆
clear pushback and start up approved runway three four left MENTARI nine two three	清晰推回和启动获批 跑道 三四 左 MENTARI 九两三
apron CHINA EASTERN five one one nine stand two six one ready	机坪 东航 五幺幺九 停机位 两六幺 准备好了
HAINAN seven six zero six YOU are number six	海南 拐六洞六 你是第六个
<ONE-HUNDRED>	<ONE-HUNDRED>
MALAYSIA three eight nine now contact apron one two one decimal six five	马来西亚航空 三八九 现在联系机坪 幺两幺点六五
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
<FORTY>	<FORTY>
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
check	检查
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
NAV	导航
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
CHINA EASTERN five six four three contact approach one two six decimal six five	东航 五六四三 联系进近 幺两六点六五
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
hold position we maintain this one EMIRATES nine eight seven five	保持位置 我们保持 阿联酋 九八拐五
NAV	导航
er CATHAY three seven seven apron	国泰 三拐拐 机坪
AIR SPRING eight five	春秋航空 八五
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
check	检查
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
nine hundred meters confirm	确认 九洞洞 米
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
two contact apron one two one decimal six	两 联系地面 幺两幺点六
NAV	导航
apron ASIANA three six four heavy	亚航 三六四 重型
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
<FOUR-HUNDRED>	<FOUR-HUNDRED>
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
hold short three six right due traffic CATHAY three four nine	等待跑道 三六 右 由于交通 国泰航空 三四九
NAV	导航
apron BRAVO five four one one hold short KILO two	机坪 BRAVO 五四幺幺 等待 KILO 两
standard	标准
one two one decimal two	幺两幺点两
apron BAUHINIA two four one we standing by	机坪 BAUHINIA 两四幺 我们待命
tower AIR JUNEYAO one one zero six localizer runway three six right	塔台 吉祥航空 幺幺洞六 ILS 跑道 三六 右
NAV	导航
apron good afternoon CHINA EASTERN five one one four hold short DELTA one one	机坪 下午好 东航 五幺幺四 等待 DELTA 幺幺
<FORTY>	<FORTY>
NAV	导航
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
er SINGAPORE eight three one can YOU accept take off er heavy	新加坡 八三幺 你能接受起飞吗 重型
standing by LUFTHANSA CARGO eight four one one	待命 汉莎货运 八四幺幺
NAV	导航
er copy that stand by about five	收到 待命 大约 五 分钟
apron good evening CHINA EASTERN five two seven one stand two three one we are ready	机坪 晚安 东航 五两拐幺 停机位 两三幺 我们准备好了
INDONESIA eight nine five contact apron one two one decimal nine seven five	印尼航空 八九五 联系机坪 幺两幺点九拐五
continue DELTA holding short of DELTA one six CHINA EASTERN five five one five	继续滑行 DELTA 等待 DELTA 幺六 东航 五五幺五
VIETNAM five two three now contact apron one two one decimal six five	越南航空 五两三 现在联系机坪 幺两幺点六五
seven one H four hold short runway three six right	拐幺 H 四 等待跑道 三六 右
NAV	导航
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
four hold short of runway three six right KOREAN AIR eight six one	四 等待跑道 三六 右 韩亚航空 八六幺
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
<ENGINE>	<ENGINE>
one one eight decimal six five good day CHINA EASTERN five one four	幺幺八点六五 日安 东航 五幺四
pushback and start up approved three six left CHINA EASTERN five one one three	推回和启动获批 跑道三六左转 东航 五幺幺三
NAV	导航
five one zero seven	五幺洞拐
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
CHINA EASTERN five two seven one tug ready	东航 五两拐幺 拖车准备好了
roger BAUHINIA two three	收到 BAUHINIA 两三
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
one two one decimal nine AIR JUNEYAO one two one one good day	幺两幺点九 东航 幺两幺幺 日安
CHINA EASTERN five one four four marshaller in sight good day	东航 五幺四四 看到达美 日安
approved CHINA EASTERN five one six zero	批准 东航 五幺六洞
ALL NIPPON nine seven two apron confirm your stand	全日空 九拐两 机坪 确认你的停机位
MIKE two DELTA hold short DELTA one six AIR JUNEYAO one two one one	MIKE 两 DELTA 等待 DELTA 幺六 东航 幺两幺幺
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
JAPAN AIR eight one HONGQIAO tower good morning continue approach runway three six right QNH one zero one zero	日本航空 八幺 虹桥塔台 早安 继续接近 跑道 三六 右 QNH 幺洞幺洞
apron AIR JUNEYAO one two zero nine	机坪 吉祥航空 幺两洞九
CHINA EASTERN five one six six surface wind three four zero , six meter per second runway three six right clear to land	东航 五幺六六 表面风速 三四洞° 每秒 六 米 跑道 三六 右 清晰着陆
taxi via KILO two LIMA one zero LIMA one eight parking bay three three eight AIR SPRING eight eight five six	滑行经过 KILO 两 LIMA 幺洞 LIMA 幺八 停机位 三三八 春秋航空 八八五六
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
<THIRTY>	<THIRTY>
NAV	导航
one two one decimal two	幺两幺点两
<ONE-HUNDRED>	<ONE-HUNDRED>
confirm QNH one	确认 QNH 幺
two eight zero	两八洞
check	检查
CHINA SOUTHERN good day	南方航空 日安
pushback and start up approved runway three five	推回和启动获批 跑道 三五
JUNEYAO one zero one two	吉祥航空 幺洞幺两
NAV	导航
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
check	检查
one two one nine seven five THAI six six	幺两幺点九拐五 泰航 六六
right CATHAY three four nine	右转 国泰航空 三四九
STAR	STAR
CHINA EASTERN five one two one taxi via MIKE three hold short DELTA	东航 五幺两幺 滑行经过 MIKE 三 等待 DELTA
<FORTY>	<FORTY>
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
speed ALT STAR	速度 ALT STAR
er roger AIR JUNEYAO one two zero nine confirm how long for the delay	收到 吉祥航空 幺两洞九 确认延误多久
